Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,01234-1234567,2/21/2025,,EXPENSE PAYMENT,Work Pay,1511.7,
Chequing,01234-1234567,2/21/2025,,PAYROLL DEPOSIT,Work Pay,2890.61,
Chequing,01234-1234567,2/21/2025,,WWW TRF DDA - 3200,,-759.99,
Chequing,01234-1234567,2/24/2025,,Payment,WWW PAYMENT - 1815 BMO MASTERCD ,-1595,
Chequing,01234-1234567,2/24/2025,,Transfer,WWW TRANSFER - 1855 ,-900,
Chequing,01234-1234567,2/27/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,2/27/2025,,WWW TRF DDA - 3695,,-1867.62,
Chequing,01234-1234567,3/3/2025,,Email Trfs,E-TRANSFER SENT ,-1099,
Chequing,01234-1234567,3/5/2025,,MONTHLY FEE,,-11.95,
Chequing,01234-1234567,3/5/2025,,MONTHLY FEE REBATE,,6,
Chequing,01234-1234567,3/7/2025,,PAYROLL DEPOSIT,Work Pay,2941.22,
Chequing,01234-1234567,3/7/2025,,Payment,WWW PAYMENT - 8627 AMEX CARDS ,-1600,
Chequing,01234-1234567,3/7/2025,,C-IDP PURCHASE-0348,TABAGIE TAB MAG ,-4.64,
Chequing,01234-1234567,3/7/2025,,WWW TRF DDA - 1942,,-759.99,
Chequing,01234-1234567,3/7/2025,,Transfer,WWW TRANSFER - 1928 ,-500,
Chequing,01234-1234567,3/12/2025,,INTERNET ACC. PYMT,EBOX INC ,-51.74,
Chequing,01234-1234567,3/13/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,3/17/2025,,EXPENSE PAYMENT,Work Pay,65.57,
Chequing,01234-1234567,3/17/2025,,C-IDP PURCHASE-9244,FLEURISTE PICAS ,-40.24,
Chequing,01234-1234567,3/18/2025,,Payment,WWW PAYMENT - 8902 HYDRO,-165,
Chequing,01234-1234567,3/19/2025,,C-IDP PURCHASE-2021,TABAGIE METRO V ,-6.45,
Chequing,01234-1234567,3/21/2025,,PAYROLL DEPOSIT,Work Pay,2941.23,
Chequing,01234-1234567,3/21/2025,,WWW TRF DDA - 4172,,-759.99,
Chequing,01234-1234567,3/24/2025,,Transfer,WWW TRANSFER - 0960 ,-800,
Chequing,01234-1234567,3/25/2025,,WWW TRF DDA - 9789,,-200,
Chequing,01234-1234567,3/27/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,3/31/2025,,Payment,WWW PAYMENT - 1455 AMEX CARDS ,-670,
Chequing,01234-1234567,3/31/2025,,WWW TRF DDA - 2194,,-3065.5,
Chequing,01234-1234567,4/1/2025,,Email Trfs,E-TRANSFER SENT ,-1099,
Chequing,01234-1234567,4/1/2025,,C-IDP PURCHASE-7804,DOLLARAMA #1549 ,-1.43,
Chequing,01234-1234567,4/4/2025,,PAYROLL DEPOSIT,Work Pay,2941.21,
Chequing,01234-1234567,4/4/2025,,WWW TRF DDA - 6425,,-759.99,
Chequing,01234-1234567,4/4/2025,,MONTHLY FEE,,-11.95,
Chequing,01234-1234567,4/4/2025,,MONTHLY FEE REBATE,,6,
Chequing,01234-1234567,4/7/2025,,Payment,WWW PAYMENT - 9647 AMEX CARDS ,-2150,
Chequing,01234-1234567,4/10/2025,,PAYROLL DEPOSIT,Work Pay 2,1867.62,
Chequing,01234-1234567,4/14/2025,,INTERNET ACC. PYMT,EBOX INC ,-51.74,
Chequing,01234-1234567,4/14/2025,,WWW TRF DDA - 0029,,-1867.62,
Chequing,01234-1234567,4/16/2025,,C-IDP PURCHASE-9658,TABAGIE METRO V ,-3.95,
Chequing,01234-1234567,4/17/2025,,PAYROLL DEPOSIT,Work Pay,2892.11,
Chequing,01234-1234567,4/17/2025,,Transfer,WWW TRANSFER - 1926 ,-700,
Chequing,01234-1234567,4/21/2025,,WWW TRF DDA - 4149,,-759.99,
Chequing,01234-1234567,4/23/2025,,Email Trfs,E-TRANSFER SENT ,-350,
Chequing,01234-1234567,4/24/2025,,PAYROLL DEPOSIT,Work Pay 2,1863.84,
Chequing,01234-1234567,4/24/2025,,Payment,WWW PAYMENT - 8902 HYDRO,-164.7,
Chequing,01234-1234567,4/24/2025,,WWW TRF DDA - 4701,,-1863.84,
Chequing,01234-1234567,4/25/2025,,Transfer,WWW TRANSFER - 5032 ,50,
Chequing,01234-1234567,4/25/2025,,Email Trfs,E-TRANSFER RECEIVED ,25,
